"ID","transponder","sex"
"B1V5564","6FC741F9C66F0001",2
"B1V5565","A02741F9C66F0001",1
"B1V5566","F3C741F9C66F0001",2
"B1V5567","DFC741F9C66F0001",2
"B1V5568","D02741F9C66F0001",2
"B1V5569","5FC741F9C66F0001",2
"B1V5570","042741F9C66F0001",2
"B1V5571","982741F9C66F0001",2
"B1V5572","502741F9C66F0001",1
"B1V5573","B82741F9C66F0001",1
"B1V5574","282741F9C66F0001",2
"B1V5574","4BA741F9C66F0001",2
"B1V5575","AFC741F9C66F0001",1
"B1V5576","942741F9C66F0001",1
"B1V5577","B7C741F9C66F0001",1
"B1V5578","882741F9C66F0001",1
"B1V5579","DBC741F9C66F0001",1
"B1V5580","582741F9C66F0001",2
"B1V5581","302741F9C66F0001",2
"B1V5582","25C741F9C66F0001",1
"B1V5583","602741F9C66F0001",1
"B1V5584","56C741F9C66F0001",1
"B1V5585","53C741F9C66F0001",1
"B1V5586","BBC741F9C66F0001",1
"B1V5587","102741F9C66F0001",2
"B1V5588","81C741F9C66F0001",1
"B1V5589","96C741F9C66F0001",2
"B1V5590","95C741F9C66F0001",2
"B1V5591","4E6741F9C66F0001",NA
"B1V5592","57C741F9C66F0001",1
"B1V5593","EEC741F9C66F0001",2
"B1V5594","01C741F9C66F0001",1
"B1V5595","97C741F9C66F0001",1
"B1V5596","63C741F9C66F0001",1
"B1V5597","99C741F9C66F0001",2
"B1V5598","37C741F9C66F0001",1
"B1V5599","4FC741F9C66F0001",2
"B1V5600","9FC741F9C66F0001",1
"B2A7682","B20DC4B43A6F0001",1
"B2A7698","FE8524B43A6F0001",2
"B2F5301","482741F9C66F0001",2
"B2F5302","E36741F9C66F0001",2
"B2F5303","242741F9C66F0001",2
"B2F5304","CFC741F9C66F0001",1
"B2F5325","657124B43A6F0001",2
"B2F5366","1BC741F9C66F0001",1
"B2F5368","6C6741F9C66F0001",1
"B2F5436","C96741F9C66F0001",1
"B2F5443","F42741F9C66F0001",1
"B2F5444","67A741F9C66F0001",2
"B2F5447","4BC741F9C66F0001",2
"B2F5449","326741F9C66F0001",1
"B2F5450","342741F9C66F0001",2
"B2F5500","C5C741F9C66F0001",1
"B2F5581","DA6741F9C66F0001",2
"B2F5606","FA6741F9C66F0001",2
"B2F5618","B06741F9C66F0001",1
"B2F5628","676741F9C66F0001",1
"B2F5648","186741F9C66F0001",2
"B2F5658","9E6741F9C66F0001",1
"B2V8004","8879C4B43A6F0001",1
"B2V8026","5F46C4B43A6F0001",2
"B2V8028","F5AAC4B43A6F0001",1
"B2V8099","A7C741F9C66F0001",1
"B2V8124","87C741F9C66F0001",1
"B2V8128","3A6741F9C66F0001",1
"B2V8169","67C741F9C66F0001",1
"B2V8308","9C6741F9C66F0001",2
"B2V8310","1E9924B43A6F0001",1
"B2V8312","58E741F9C66F0001",2
"B2V8432","77C741F9C66F0001",1
"B2V8433","0FC741F9C66F0001",1
"B2V8434","21C741F9C66F0001",2
"B2V8435","536741F9C66F0001",1
"B2V8436","E82741F9C66F0001",1
"B2V8437","6EC741F9C66F0001",1
"B2V8438","ADC741F9C66F0001",2
"B2V8439","DEC741F9C66F0001",2
"B2V8440","516741F9C66F0001",1
"B2V8441","376741F9C66F0001",2
"B2V8442","6DC741F9C66F0001",2
"B2V8443","15C741F9C66F0001",1
"B2V8444","43C741F9C66F0001",1
"B2V8445","6B6741F9C66F0001",1
"B2V8446","A3C741F9C66F0001",1
"B2V8447","1EC741F9C66F0001",1
"B2V8448","396741F9C66F0001",1
"B2V8449","76C741F9C66F0001",1
"B2V8450","542741F9C66F0001",1
"B2V8451","5B6741F9C66F0001",1
"B2V8452","8DC741F9C66F0001",1
"B2V8453","742741F9C66F0001",1
"B2V8454","45C741F9C66F0001",1
"B2V8455","F02741F9C66F0001",2
"B2V8456","C1C741F9C66F0001",2
"B2V8457","702741F9C66F0001",2
"B2V8458","C42741F9C66F0001",2
"B2V8459","0EC741F9C66F0001",1
"B2V8460","796741F9C66F0001",2
"B2V8461","F82741F9C66F0001",1
"B2V8462","F9C741F9C66F0001",1
"B2V8463","136741F9C66F0001",2
"B2V8464","0BC741F9C66F0001",2
"B2V8465","27C741F9C66F0001",1
"B2V8466","D3C741F9C66F0001",1
"B2V8467","8BC741F9C66F0001",2
"B2V8468","8FC741F9C66F0001",2
"B2V8469","402741F9C66F0001",2
"B2V8470","E1C741F9C66F0001",1
"B2V8471","696741F9C66F0001",1
"B2V8472","52E741F9C66F0001",2
"B2V8473","50E741F9C66F0001",2
"B2V8479","FBA524B43A6F0001",1
"B2V8493","5A76C4B43A6F0001",2
"B2V8495","B06AC4B43A6F0001",1
"B2V8621","84C924B43A6F0001",2
"B2V8623","512DC4B43A6F0001",1
"B2V8626","D403C4B43A6F0001",2
"B2V8630","328524B43A6F0001",2
"B2V8645","17B9C4B43A6F0001",1
"B2V8645","A3B6C4B43A6F0001",1
"B2V8648","A93AC4B43A6F0001",2
"B2V8653","29C524B43A6F0001",1
"B2V8659","676CE7D001AF0001",2
"B2V8662","230DC4B43A6F0001",2
"B2V8667","348524B43A6F0001",2
"B2V8679","EB16C4B43A6F0001",2
"B2V8683","A7A924B43A6F0001",1
"B2V8701","D92DC4B43A6F0001",2
"B2V8702","75BEC4B43A6F0001",1
"B2V8703","5F9924B43A6F0001",2
"B2V8704","118DC4B43A6F0001",2
"B2V8705","CE7524B43A6F0001",2
"B2V8706","41DDC4B43A6F0001",1
"B2V8707","A1F9C4B43A6F0001",2
"B2V8708","3B65C4B43A6F0001",2
"B2V8709","0B83C4B43A6F0001",2
"B2V8710","346D24B43A6F0001",2
"B2V8711","7AD5C4B43A6F0001",2
"B2V8712","24F7C4B43A6F0001",2
"B2V8713","3A23C4B43A6F0001",2
"B2V8714","41D524B43A6F0001",2
"B2V8715","E4A224B43A6F0001",2
"B2V8716","EB3EC4B43A6F0001",2
"B2V8717","257124B43A6F0001",2
"B2V8718","AFDAC4B43A6F0001",2
"B2V8719","38AD24B43A6F0001",1
"B2V8720","139EC4B43A6F0001",2
"B2V8721","00B924B43A6F0001",1
"B2V8722","F2C924B43A6F0001",1
"B2V8723","C4D524B43A6F0001",2
"B2V8724","591524B43A6F0001",2
"B2V8725","3E76C4B43A6F0001",2
"B2V8726","3EF524B43A6F0001",1
"B2V8736","0C76C4B43A6F0001",2
"B2V8737","8C03C4B43A6F0001",2
"B2V8738","7B0524B43A6F0001",2
"B2V8739","A7F924B43A6F0001",1
"B2V8740","FC2D24B43A6F0001",2
"B2V8741","D7F924B43A6F0001",2
"B2V8742","6DCD24B43A6F0001",1
"B2V8743","8DED24B43A6F0001",2
"B2V8744","80BAC4B43A6F0001",2
"B2V8745","FD4A24B43A6F0001",2
"B2V8746","5CE2C4B43A6F0001",2
"B2V8747","A06AC4B43A6F0001",1
"B2V8748","459524B43A6F0001",1
"B2V8749","164A24B43A6F0001",1
"B2V8751","25A924B43A6F0001",2
"B2V8752","68AD24B43A6F0001",2
"B2V8753","A7D524B43A6F0001",1
"B2V8754","05D5C4B43A6F0001",1
"B2V8755","5946C4B43A6F0001",1
"B2V8756","A5F924B43A6F0001",2
"B2V8757","0D9524B43A6F0001",2
"B2V8758","92B924B43A6F0001",2
"B2V8759","566524B43A6F0001",2
"B2V8760","921524B43A6F0001",1
