"ID","sex"
"X08009807",1
"X09009807",1
"X10009807",1
"X11009807",2
"X12009807",2
"X13009807",2
"X14009807",1
"B1V5396",2
"B1V5369",1
"B2V8165",2
"B2V8166",1
"B2V8167",2
"B2V8168",2
"B2V8169",1
"B2V8170",2
"B2V8171",1
"B2V8172",2
"B2V8173",1
"B2V8174",1
"B2V8175",2
"B2V8176",2
"B1P5977",2
"B1V5579",1
"B2F5510",1
"B2F5511",1
"B2F5512",1
"B2F5513",2
"B2F5514",1
"B2F5515",2
"B2F5516",1
"B2F5517",1
"B2F5518",1
"B2F5519",1
"B1V5487",2
"B1V5575",1
"B2F5520",1
"B2F5521",1
"B2F5522",2
"B2F5523",1
"B2F5524",2
"B2F5525",2
"B2F5526",1
"B2F5527",2
"B2F5528",2
"B2F5529",1
"B2F5530",2
"B1V5559",2
"B1V5577",1
"B2F5354",1
"B2F5355",1
"B2F5356",1
"B2F5357",1
"B2F5358",1
"B2F5359",1
"B2F5360",2
"B2F5361",1
"B2F5362",1
"B1V5484",2
"B1V5552",1
"B2F5680",1
"B2F5681",1
"B2F5682",1
"B2F5683",2
"B2F5684",1
"B2F5685",2
"B2F5686",1
"B2F5687",1
"B2F5688",1
"B2F5689",1
"B2F5690",1
"B2F5691",1
"B1V5570",2
"B1V5551",1
"B2F5458",1
"B2F5459",1
"B2F5460",1
"B2F5461",2
"B2F5462",2
"B2F5463",2
"B2F5464",1
"B2F5465",1
"B2F5466",2
"B2F5467",2
"B1V5479",2
"B1V5596",1
"B2F5572",2
"B2F5573",1
"B2F5574",2
"B2F5575",2
"B2F5576",1
"B2F5577",2
"B2F5578",2
"B2F5579",2
"B2F5580",1
"B2F5581",2
"B2F5582",2
"B2F5583",1
"B2V8101",1
"B2V8102",2
"B2V8401",1
"B2V8402",1
"B2V8403",2
"B2V8404",2
"B2V8405",2
"B2V8406",1
"B2V8407",2
"B2V8408",1
"B1V5397",2
"B1V5595",1
"B2V8177",1
"B2V8178",1
"B2V8179",1
"B2V8180",1
"B2V8181",1
"B2V8182",2
"B2V8183",2
"B2V8184",2
"B2V8185",2
"B2V8186",1
"B2V8187",2
"B2V8188",2
"B2V8189",2
"X04014007",1
"X05014007",2
"X08014007",2
"X10014007",1
"B1V5574",2
"B1V5557",1
"B2F5344",1
"B2F5345",1
"B2F5346",1
"B2F5347",2
"B2F5348",2
"B2F5349",2
"B2F5350",2
"B2F5351",1
"B2F5352",2
"B2F5353",2
"B1V5556",1
"B1V5580",2
"B2F5333",2
"B2F5334",2
"B2F5335",2
"B2F5336",2
"B2F5337",1
"B2F5338",1
"B2F5339",2
"B2F5340",2
"B2F5341",2
"B2F5342",1
"B2F5343",1
"B1V5594",1
"B1V5485",2
"B2V8302",1
"B2V8303",1
"B2V8304",1
"B2V8305",2
"B2V8311",2
"B2V8312",2
"B2V8313",1
"B2V8314",1
"B1V5499",2
"B1V5496",1
"B2V8300",1
"B2V8416",2
"B2V8417",2
"B2V8418",1
"B2V8419",1
"B2V8420",1
"B2V8421",1
"X06015307",1
"B1V5592",1
"B1V5388",2
"X01015507",1
"B2V8306",1
"B2V8307",1
"B2V8308",2
"B2V8309",2
"B2V8310",1
"B2V8320",1
"B2V8321",2
"B2V8322",1
"B2V8323",2
"B1V5386",2
"B2V8315",1
"B2V8316",1
"B2V8317",1
"B2V8318",2
"B2V8319",2
"B2V8324",2
"B2V8325",2
"B2V8326",2
"B2V8327",2
"B2V8328",1
"B1V5500",2
"B1V5488",1
